Code,Name,Model,Size,RACKNO,Sale_rate,GST_rate,Brand_name,Lingam_stock,Kumari_stock
"1","DRILLING MACHINE","HITACHI","40",null,0,5,"HARDWARES TOOLS",0,0
"108766230","INTERFACE CARD ASSY CMC","","",null,1280,18,"ELGI ROCD SPARES",0,0
"108766235","DISPLAY PCB WITH 1M CABLE","","","",2971,18,"ELGI ROCD SPARES",0,0
"108766236","DISPLAY PCB WITH 1.5M CABLE","","","",2992,18,"ELGI ROCD SPARES",0,0
"108766244","DISPLY PCB OFSAC WITH 1M CABLE","","",null,5598,18,"ELGI ROCD SPARES",0,0
"220010980","COVER, I/L HSG, 2S, M/C","","",null,10981,5,"ELGI ROCD SPARES",0,0
"220110110","COVER; O/L HSG; 10S; M/C","","","",7271,18,"ELGI ROCD SPARES",0,0
"220111660","COVER, O/L HSG, 25S, M/C","","",null,14270,5,"ELGI & ATS ELGI SPARES",0,0
"220111760","SHAFT, I/P, 2S, GRINDING","","","",12853,18,"ELGI ROCD SPARES",0,0
"220112270","COVER, O/L HSG_ 20S M/C","","","",15769,18,"ELGI ROCD SPARES",0,0
"220113160","COVER, O/L HSG, M/C","","",null,9609,5,"ELGI ROCD SPARES",0,0
"220113510","ADAPTER; INTER STG; M/C; 20/16","","","",215558,18,"ELGI ROCD SPARES",0,0
"220170620","TANK, REC., 900/350","DPSAC","",null,147677,5,"ELGI ROCD SPARES",0,0
"220210040","SHAFT; I/P; 12S","","","",5066,18,"ELGI ROCD SPARES",0,0
"220210060","COVER; O/L HSG; 12S; M/C","","",null,5970,18,"ELGI ROCD SPARES",0,0
"220210120","SHAFT G/D I/P E16","","","",6744,18,"ELGI ROCD SPARES",0,0
"220210210","TUBE; OIL; SEAL; 20S","","",null,2273,18,"ELGI ROCD SPARES",0,0
"220210220","TUBE BRG RET E20","","",null,3598,18,"ELGI ROCD SPARES",0,0
"220210260","GASKET, SEAL HSG, 20S","","","",275,18,"ELGI ROCD SPARES",0,0
"220210370","MINIMUM PRESSURE VALVE 1 1/2IN","","","",4989,18,"ELGI ROCD SPARES",0,0
"220210379","KIT MPV E16 EPSAC","","","I79/E",1555,18,"ELGI ROCD SPARES",0,0
"220210470","VALVE ASSY, BUTTERFLY, 4\"","","","",6990,18,"ELGI ROCD SPARES",0,0
"220210510","VALVE ASSY, BUTTERFLY, 6\"","","","",12965,18,"ELGI ROCD SPARES",0,0
"220210529","MINIMUM PRESSURE VALVE KIT","","","I79/E",2207,18,"ELGI ROCD SPARES",0,6
"220210600","COVER; O/L HSG; 16S; M/C","","",null,8567,18,"ELGI ROCD SPARES",0,0
"220210900","VALVE ASSY, MP, 16S, DPSAC","","",null,5740,18,"ELGI ROCD SPARES",0,0
"220210909","MPV KIT E12 DPSAC","","","",2582,18,"ELGI ROCD SPARES",0,0
"220210910","VALVE ASSY, MP, 80 NB","","",null,14521,18,"ELGI ROCD SPARES",0,0
"220210919","KIT MPV E20 DPSAC","","",null,5520,18,"ELGI ROCD SPARES",0,0
"220211080","VALVE ASSY, DIS CHECK, 2 1/2\"","","",null,4697,18,"ELGI ROCD SPARES",0,0
"220211089","DCV KIT E12","","","",830,18,"ELGI ROCD SPARES",0,0
"220211780","TUBE; I/L BRG; MA.; 20S","","",null,2521,18,"ELGI ROCD SPARES",0,0
"220212030","RING, ADAPTER, 10S, EPSAC","","",null,8212,18,"ELGI ROCD SPARES",0,0
"220213199","KIT; DISCHARGE CHECK VALVE","","","",4402,18,"ELGI ROCD SPARES",0,0
"220213410","O/C & A/C ASSY; 16S; A/O; A/Q","","","",519498,18,"ELGI ROCD SPARES",0,0
"220213420","COOLER ASSY O/C&A/C E12 EPSAC","","",null,373433,18,"ELGI ROCD SPARES",0,0
"220214720","VALVE ASSY; MP; 25S","","","",31135,18,"ELGI ROCD SPARES",0,0
"220214729","KIT MPV E25","","","",6694,18,"ELGI ROCD SPARES",0,0
"220215320","RETAINER BRG INPUT SHAFT M/C","","",null,10083,18,"ELGI ROCD SPARES",0,0
"220215340","SHAFT I/P G/D E25","","","",21843,18,"ELGI ROCD SPARES",0,0
"220215370","COVER; DCV; M/C; 25S","","",null,7488,18,"ELGI ROCD SPARES",0,0
"220215510","BRKT; OIL FILTER; A/E; 25S","","",null,2763,18,"ELGI ROCD SPARES",0,0
"220215610","VALVE ASSY, MP, 2S, 2 1/2\"NPT","","",null,34266,18,"ELGI ROCD SPARES",0,0
"220215619","KIT,VALVE,MINIMUM PR 21/2\"","","","",2454,18,"ELGI ROCD SPARES",0,0
"220215720","RETAINER; SEAL; 2S; M/C","","","",6923,18,"ELGI ROCD SPARES",0,0
"220215730","RETAINER; I/P SHAFT; BRG; 2S;","","","",8739,18,"ELGI ROCD SPARES",0,0
"220216400","ELBOW, DISCHARGE, 2S, M/C","","",null,3129,5,"ELGI ROCD SPARES",0,0
"220216410","RING INTER STAGE","","",null,4378,18,"ELGI ROCD SPARES",0,0
"220216420","ADAPTER; DISCHARGE ASSY; T","","",null,3485,18,"ELGI ROCD SPARES",0,0
"220216430","COVER; SEAL; M/C","","",null,7640,18,"ELGI ROCD SPARES",0,0
"220216440","COVER; V RING; T","","",null,6533,18,"ELGI ROCD SPARES",0,0
"220216460","PISTON; BALANCING; MA.; T","","",null,3898,18,"ELGI ROCD SPARES",0,0
"220216490","BRKT; FILTER MTG; T","","",null,1427,18,"ELGI ROCD SPARES",0,0
"220217480","VALVE ASSY; BUTTERFLY; 8\"","","","",42885,18,"ELGI ROCD SPARES",0,0
"220218710","ADAPTER; VENT TO COOLER;","","",null,4203,5,"ELGI & ATS ELGI SPARES",0,0
"220219110","PIPE, L, ST2, M/C","20/12 2STAGE AIREND","",null,10775,5,"ELGI ROCD SPARES",0,0
"220219130","PIPE; U; INT ST; 1ST O/L; 2S;","","",null,13819,18,"ELGI ROCD SPARES",0,0
"220219180","PRE SEPARATOR, AIR, OIL, 12S","","","",14907,18,"ELGI ROCD SPARES",0,0
"220219190","PRE SEPARATOR E10 EPSAC","","","",10616,18,"ELGI ROCD SPARES",0,0
"220219330","PIPE, INTERSTAGE O/L, 2S,","20/12 2STAGE AIREND","",null,11379,5,"ELGI ROCD SPARES",0,0
"220219610","COOLER OIL 1100/350 SKID","COPPER COOLER","",null,1029937,18,"ELGI ROCD SPARES",0,0
"220219910","SHAFT; I/P; 800 & 900/200; GRI","","","I/ZONE4",29002,18,"ELGI ROCD SPARES",0,0
"220220150","COOLER ASSY O/C&A/C EH04075","","",null,217206,18,"ELGI ROCD SPARES",0,0
"220220570","COVER, O/L, 20/16, M/C","","",null,7360,5,"ELGI ROCD SPARES",0,0
"220230040","VALVE, BUTTERFLY, 2 1/2\"","","","",4049,18,"ELGI ROCD SPARES",0,0
"220244050","COOLER ASSY; O/C&A/C; EL07270","","",null,1171144,18,"ELGI ROCD SPARES",0,0
"220247100","RING; ADAPTER; 400DP","","",null,13459,18,"ELGI ROCD SPARES",0,0
"220249010","COOLER, OIL, 900/350 DPSAC","COPPER COOLER","",null,1007916,18,"ELGI ROCD SPARES",0,0
"220249020","COOLER, OIL, 750/250&/350, 900","","","",1112904,18,"ELGI ROCD SPARES",0,0
"220270390","ADAPTER ASSY; VENT TO COO","","",null,4637,5,"ELGI & ATS ELGI SPARES",0,0
